gen, min, avg, max, std, exp_number
150, -92.4307, -61.3144, 6.63283, 13.8647, 2
151, -92.4307, -60.9985, 12.1381, 14.4043, 2
152, -92.4307, -60.8379, 27.8781, 14.7779, 2
153, -92.4307, -60.7692, 34.9294, 14.8189, 2
154, -92.4307, -60.7853, 13.9188, 14.4585, 2
155, -92.4307, -60.8645, 7.91169, 14.0139, 2
156, -92.4307, -60.8293, 12.7585, 14.3734, 2
157, -92.4307, -60.6129, 7.79032, 14.4913, 2
158, -92.4307, -60.7213, 19.8561, 14.6506, 2
159, -92.4307, -60.819, 17.2594, 14.6092, 2
160, -92.4307, -60.6593, 13.6659, 14.8911, 2
161, -92.4307, -60.7668, 21.1257, 14.6591, 2
162, -92.4307, -60.5594, 26.826, 15.0224, 2
163, -92.4307, -60.5111, 11.5277, 14.6008, 2
164, -92.4307, -60.5595, 18.5758, 14.4239, 2
165, -92.4307, -60.5676, 16.0281, 14.4005, 2
166, -92.4307, -60.6766, 13.108, 14.2155, 2
167, -92.4307, -60.6003, 13.108, 14.1348, 2
168, -92.4307, -60.3053, 17.7451, 14.5113, 2
169, -92.4307, -60.2573, 15.8005, 14.5844, 2
170, -92.4307, -60.1885, 9.89993, 14.6463, 2
171, -92.4307, -60.0206, 22.4007, 14.9537, 2
172, -92.4307, -60.145, 13.0598, 14.4659, 2
173, -92.4307, -60.0275, 20.7962, 14.7398, 2
174, -92.4307, -59.9132, 7.83442, 14.4425, 2
175, -92.4307, -59.9504, -0.424798, 14.347, 2
176, -92.4307, -59.7824, 8.52907, 14.636, 2
177, -92.4307, -59.6853, 8.08833, 14.574, 2
178, -92.4307, -59.4747, 11.4215, 15.0002, 2
179, -92.4307, -59.537, 3.9531, 14.8975, 2
180, -92.4307, -59.7722, 11.3501, 14.3884, 2
181, -92.4307, -59.6619, 32.3257, 14.729, 2
182, -92.4307, -59.3487, 19.4817, 15.1551, 2
183, -92.4307, -59.1605, 24.8621, 15.8479, 2
184, -92.4857, -59.509, 15.3215, 15.4331, 2
185, -92.4857, -59.4594, 21.3657, 15.6285, 2
